
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. build, 1493, 1004, 188, 0, 0, 9, 0, 3, 179
.	. build_sb, 0, 2, 0, 0, 0, 0, 0, 2, 0
.	.	. build_sb_CCC_0_FCCC, 0, 2, 0, 0, 0, 0, 0, 2, 0
.	.	. build_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. led_igloo, 243, 181, 155, 0, 0, 0, 0, 0, 0
.	. syn_identify_core0_0, 1250, 819, 33, 0, 0, 9, 0, 1, 0
.	.	. IICE_x, 1202, 802, 33, 0, 0, 9, 0, 0, 0
.	.	.	. b11_OFWNT9s_8tZ_Z2_x, 416, 202, 22, 0, 0, 9, 0, 0, 0
.	.	.	.	. b11_SoWyP0zEFKY_161s_0s_6s_0s_2s_2s_0s_0s_2s_0s_x_0, 156, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b13_vFW_xNywD_EdR_161s_10s_1024s_0s_x_0, 0, 0, 0, 0, 0, 9, 0, 0, 0
.	.	.	.	. b19_nczQ_DYg_YFaRM_oUoP_24s_1s_x_0, 24, 25, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b19_nczQ_DYg_YFaRM_oUoP_32s_1s_x_0, 32, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	. b3_12m_x, 631, 577, 11, 0, 0, 0, 0, 0, 0
.	.	.	.	. b7_OCByLXC_Z1_x_0, 155, 79, 11, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_nR_ymqrG_10s_5s_0_0s_0s_1_510_x_0, 32, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. clock2_en_reg_en_5s_x_0, 13, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b7_PfFzrNY_x_0, 476, 498, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b11_PSyil9s1fkT_x, 10, 497, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b16_CRGcTCua_eH4_uui_x_0, 10, 90, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. b9_O2yyf_fG2_x_0_0, 0, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. b9_O2yyf_fG2_x_10_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. b9_O2yyf_fG2_x_11_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. b9_O2yyf_fG2_x_12_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. b9_O2yyf_fG2_x_13_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. b9_O2yyf_fG2_x_4_0, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. b9_O2yyf_fG2_x_5_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. b9_O2yyf_fG2_x_6_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. b9_O2yyf_fG2_x_7_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. b9_O2yyf_fG2_x_8_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. b9_O2yyf_fG2_x_9_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b8_1LbcQDr1_x_0_0, 0, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b8_1LbcQDr1_x_100_0, 0, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b8_1LbcQDr1_x_101_0, 0, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b8_1LbcQDr1_x_102_0, 0, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b8_1LbcQDr1_x_103_0, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b8_1LbcQDr1_x_104_0, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b8_1LbcQDr1_x_105_0, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b8_1LbcQDr1_x_106_0, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b8_1LbcQDr1_x_107_0, 0, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b8_1LbcQDr1_x_108_0, 0, 3, 0, 0, 0, 0, 0, 0, 0
